batch,code,strength,size,start,api_code,api_batch,smcc_batch,lactose_batch,starch_batch,api_water,api_total_impurities,api_l_impurity,api_content,api_ps01,api_ps05,api_ps09,lactose_water,lactose_sieve0045,lactose_sieve015,lactose_sieve025,smcc_water,smcc_td,smcc_bd,smcc_ps01,smcc_ps05,smcc_ps09,starch_ph,starch_water,tbl_min_thickness,tbl_max_thickness,fct_min_thickness,fct_max_thickness,tbl_min_weight,tbl_max_weight,tbl_rsd_weight,fct_rsd_weight,tbl_min_hardness,tbl_max_hardness,tbl_av_hardness,fct_min_hardness,fct_max_hardness,fct_av_hardness,tbl_max_diameter,fct_max_diameter,tbl_tensile,fct_tensile,tbl_yield,batch_yield,dissolution_av,dissolution_min,resodual_solvent,impurities_total,impurity_o,impurity_l,tbl_speed_mean,tbl_speed_change,tbl_speed_0_duration,total_waste,startup_waste,weekend,fom_mean,fom_change,SREL_startup_mean,SREL_production_mean,SREL_production_max,main_CompForce mean,main_CompForce_sd,main_CompForce_median,pre_CompForce_mean,tbl_fill_mean,tbl_fill_sd,cyl_height_mean,stiffness_mean,stiffness_max,stiffness_min,ejection_mean,ejection_max,ejection_min,Startup_tbl_fill_maxDifference,Startup_main_CompForce_mean,Startup_tbl_fill_mean,Drug release average (%),Drug release min (%),Residual solvent,Total impurities,Impurity O,Impurity L,Batch Size (tablets),Normalisation factor
48,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,112.0,116.0,1.37,1.05,70.56,101.92,46,38.0,56.0,86.24,6.0,6.2,1.479765811,2.605784455,96.981,97.348,95.0,91,0.17,0.11,0.05,0.11,99.94361079,5.0,117.0833333,1872.5,3557,no,80.0,6,9.523529412,4.178229665,5.5,4.859449761,0.069172585,4.9,0.0,5.366901914,0.093997554,1.822009569,4.860047847,11,3,139.2093301,160,73,0.1,4.776470588,5.241764706,95.0,91.0,0.17,0.11,0.05,0.11,240000,2.4
49,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.4,3.4,112.0,116.0,1.0,0.88,68.6,84.28,47,39.0,54.0,75.46,6.0,6.2,1.511934633,2.280061398,97.727,97.727,91.83,85,0.21,0.1,0.05,0.05,99.92603062,5.0,195.4166667,1230.416667,2466,no,79.92588235,8,6.1,4.294026284,6.0,5.055555556,0.068534442,5.1,0.0,5.374958184,0.075924317,1.801266428,4.621266428,11,3,141.5328554,157,98,0.12,4.941666667,5.314166667,91.83,85.0,0.21,0.1,0.05,0.05,240000,2.4
50,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,112.0,116.0,1.04,0.87,72.52,86.24,47,40.0,59.0,78.4,6.0,6.1,1.511934633,2.407729302,98.106,98.106,90.0,84,0.24,0.1,0.05,0.1,99.95840188,4.583333333,98.75,780.8333333,1439,no,79.92723005,5,10.72,4.306413302,5.9,5.053206651,0.071806501,5.1,0.0,5.363444181,0.071759042,1.801437055,4.732779097,12,3,142.3562945,158,72,0.06,4.833333333,5.356666667,90.0,84.0,0.24,0.1,0.05,0.1,240000,2.4
51,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,111.0,115.0,0.98,0.93,62.72,90.16,49,42.0,59.0,77.42,6.0,6.1,1.576272277,2.377632686,98.864,98.864,91.67,89,0.24,0.1,0.05,0.1,99.9890973,3.75,105.0,843.3333333,1569,no,80.0,6,5.9,4.234282325,5.8,5.156820878,0.06600475,5.2,0.0,5.34915777,0.07852184,1.793036773,4.551601423,10,3,144.7212337,165,133,0.26,5.35,5.222,91.67,89.0,0.24,0.1,0.05,0.1,240000,2.4
52,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,112.0,115.0,0.94,0.79,70.56,88.2,51,43.0,60.0,80.36,6.0,6.1,1.640609921,2.467922535,97.338,96.97,90.5,87,0.18,0.09,0.05,0.09,99.93106332,3.333333333,91.25,752.5,1390,no,80.0,4,7.233333333,4.23852657,6.0,5.152536232,0.063974318,5.2,0.0,5.356352657,0.06217914,1.8,4.427536232,9,3,144.9178744,162,132,0.23,5.022222222,5.317777778,90.5,87.0,0.18,0.09,0.05,0.09,240000,2.4
53,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,112.0,116.0,0.97,0.96,70.56,96.04,52,43.0,65.0,82.32,6.0,6.1,1.672778743,2.528115768,98.864,98.864,92.83,89,0.21,0.1,0.05,0.1,99.95381008,4.166666667,110.8333333,791.25,1442,no,80.0,6,4.5,4.246445498,5.8,5.152014218,0.060705381,5.2,0.0,5.337322275,0.075041691,1.789668246,4.555687204,11,3,143.5983412,160,76,0.16,5.266666667,5.258888889,92.83,89.0,0.21,0.1,0.05,0.1,240000,2.4
54,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,111.0,115.0,0.9,0.96,66.64,101.92,49,40.0,59.0,85.26,6.0,6.2,1.576272277,2.576173268,97.348,97.348,92.5,86,0.18,0.11,0.05,0.11,100.0,2.916666667,100.8333333,890.8333333,1876,no,80.0,4,8.5,4.202517986,6.0,4.956354916,0.057887158,5.0,0.0,5.282014388,0.074703221,1.8,4.315347722,10,3,137.7973621,153,126,0.34,4.822222222,5.186666667,92.5,86.0,0.18,0.11,0.05,0.11,240000,2.4
55,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.4,111.0,115.0,1.08,0.75,74.48,107.8,55,44.0,63.0,85.26,6.0,6.1,1.769285209,2.618405616,95.113,95.833,96.0,90,0.23,0.1,0.05,0.1,99.92517986,4.166666667,182.9166667,1258.75,1710,no,50.0,4,9.377777778,4.449575758,5.6,4.857090909,0.060749947,4.9,0.0,5.382472727,0.033293262,1.817369697,4.63030303,10,3,138.1878788,155,90,0.35,4.855555556,5.228888889,96.0,90.0,0.23,0.1,0.05,0.1,240000,2.4
56,1,5MG,240000,nov.18,1,8,2,3,2,2.04,0.05,0.05,94.2,2.65,54.96,171.579,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.3,3.3,3.3,111.0,114.0,0.81,0.81,68.6,88.2,48,41.0,61.0,76.44,6.0,6.1,1.544103455,2.418673527,97.719,97.348,95.83,92,0.16,0.1,0.05,0.1,99.98554642,2.5,91.25,1441.25,2822,no,69.77464789,7,10.45,4.142601432,5.5,4.861455847,0.065446028,4.9,0.0,5.273818616,0.035847487,1.8,4.508353222,9,3,136.0656325,156,124,0.12,4.853846154,5.266153846,95.83,92.0,0.16,0.1,0.05,0.1,240000,2.4
57,2,10M,1920000,nov.18,1,9,2,3,2,1.68,0.05,0.05,94.4,1.27,13.62,118.705,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.4,3.3,3.4,110.0,115.0,1.17,1.06,57.82,72.52,55,38.0,71.0,64.68,6.0,6.1,1.717247409,1.986376675,97.82,97.727,89.5,85,0.05,0.05,0.05,0.05,119.9837417,2.239583333,22.44791667,1226.458333,14041,no,19.99877537,19,12.88222222,5.996473285,8.5,4.050978663,0.093954911,4.1,0.018497619,5.65977958,0.059372712,1.506058896,63.35478752,158,2,19.68559337,26,14,1.77,5.451162791,4.992093023,89.5,85.0,0.05,0.05,0.05,0.05,1920000,19.2
