target,model,split,r2,rmse,mae
dissolution_av,LightGBM,train,0.9902253657222995,0.33180052999142107,0.12580296083811396
dissolution_av,LightGBM,val,0.9904384744233721,0.31367636428412704,0.13859476325970682
dissolution_av,LightGBM,test,0.9882666561544071,0.3786217708986232,0.1595169717556216
dissolution_av,CatBoost,train,0.9995153747058153,0.0738805050605822,0.05898813035796522
dissolution_av,CatBoost,val,0.9866844265668077,0.37016737313388887,0.21232453429389087
dissolution_av,CatBoost,test,0.9761351988741644,0.5399749256210722,0.25795197660793256
dissolution_min,CatBoost,train,0.9995459133248951,0.0902670422743309,0.07047652499216506
dissolution_min,CatBoost,val,0.9803213364110565,0.5895186034038579,0.23596909039685582
dissolution_min,CatBoost,test,0.986076025958473,0.4961007994687781,0.21784497799258956
dissolution_min,LightGBM,train,0.9940367343898919,0.3271160928702362,0.14431473109123236
dissolution_min,LightGBM,val,0.9799345019897766,0.5952846520301929,0.2606640762416207
dissolution_min,LightGBM,test,0.9862688005704766,0.4926546222383284,0.24696276704124534
batch_yield,LightGBM,train,0.888609092670413,0.36817222634205743,0.13496968040051646
batch_yield,LightGBM,val,0.8247790097495814,0.5182154510130002,0.23114260512137436
batch_yield,LightGBM,test,0.9203344830515411,0.30484513246059913,0.20025548991658715
batch_yield,CatBoost,train,0.995542000297637,0.07365397168854904,0.05755036237888335
batch_yield,CatBoost,val,0.8051785282531801,0.546431468974437,0.22243299333023908
batch_yield,CatBoost,test,0.9180658588811778,0.30915518052721835,0.204701660479274
impurities_total,CatBoost,train,0.9997310358293867,0.001609167109655822,0.0012609821555278533
impurities_total,CatBoost,val,0.9920170440448804,0.008817843190140003,0.005185867217515109
impurities_total,CatBoost,test,0.9038243141894369,0.031330002156071464,0.00782765497678131
impurities_total,LightGBM,train,0.9987991941217765,0.0034000893875514296,0.0010246621392117697
impurities_total,LightGBM,val,0.9982327398209445,0.0041488788251701275,0.0016383889650727586
impurities_total,LightGBM,test,0.9663975734836632,0.018518810977905614,0.002167383482387812
impurity_o,LightGBM,train,0.8522471663162093,0.003577216310784464,0.0006058632906083
impurity_o,LightGBM,val,0.8134562981828508,0.004411359171762983,0.0008688189007106451
impurity_o,LightGBM,test,0.7708565135806837,0.004545808411058496,0.0007580459795706243
impurity_o,CatBoost,train,0.999809504304006,0.00012844579077692824,9.187614207457938e-05
impurity_o,CatBoost,val,0.8825666696182982,0.003500078724983223,0.0007609167851053813
impurity_o,CatBoost,test,0.7811477635730972,0.004442555520411229,0.0007578345182674413
impurity_l,CatBoost,train,0.999798895481462,0.000434224413162566,0.00033571225795914954
impurity_l,CatBoost,val,0.9931963001841821,0.0023507123220399377,0.0012524953733873473
impurity_l,CatBoost,test,0.9894026645271631,0.0029483999743357006,0.001308260769260586
impurity_l,LightGBM,train,0.999092457676715,0.0009224371096797576,0.0003348198469093487
impurity_l,LightGBM,val,0.9970857898133272,0.0015384640339492048,0.0006498253896839617
impurity_l,LightGBM,test,0.9978178193138655,0.0013379300594656236,0.0006206078506129297
resodual_solvent,CatBoost,train,0.999662533388349,0.0008107971856082048,0.0006167203006865842
resodual_solvent,CatBoost,val,0.9952183502407802,0.0030032099711755377,0.0018904180057107258
resodual_solvent,CatBoost,test,0.9889045376899104,0.004372601610854575,0.002214374293776719
resodual_solvent,LightGBM,train,0.9959252922522015,0.0028173776144741385,0.000896748667409639
resodual_solvent,LightGBM,val,0.9926524824087618,0.003722777953674868,0.001291330507833949
resodual_solvent,LightGBM,test,0.9874490692123867,0.0046505591929706476,0.0013117736716281893
